Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets,44.0,28.3,76.3,18.5,30.9,24.5,10.4,5.0
Golden State Warriors*,48.5,33.7,78.3,13.6,28.1,23.8,9.8,4.6
Portland Trail Blazers*,48.5,37.7,75.3,14.7,31.2,27.5,8.8,5.0
Phoenix Suns*,49.6,31.9,77.0,13.8,31.7,26.9,8.4,6.5
Indiana Pacers*,49.3,33.2,81.1,12.4,29.0,26.6,8.0,4.4
Boston Celtics*,51.2,31.5,82.4,13.3,32.9,26.3,8.2,6.9
Chicago Bulls*,51.0,36.6,76.0,14.0,28.6,27.0,10.0,5.3
Atlanta Hawks*,46.4,32.4,80.0,15.1,29.5,22.7,8.9,4.6
San Antonio Spurs*,48.8,27.3,76.6,13.8,32.4,26.1,8.2,7.0
Houston Rockets*,46.7,32.0,74.1,15.5,30.6,23.2,9.7,5.0
Seattle SuperSonics*,49.2,31.9,75.0,14.9,26.5,24.9,10.5,4.6
Milwaukee Bucks*,48.0,34.1,80.1,13.2,26.4,25.3,10.9,4.0
Los Angeles Lakers*,48.4,30.4,79.8,13.1,29.8,25.5,7.8,4.7
Orlando Magic,45.5,35.8,74.3,15.0,29.6,22.1,7.3,3.7
Philadelphia 76ers*,47.5,31.6,79.0,12.0,30.4,22.2,8.3,5.8
Utah Jazz*,49.2,32.3,78.9,10.6,30.2,27.0,8.0,5.5
Los Angeles Clippers,46.4,26.0,70.2,15.2,30.5,25.8,8.8,6.2
New York Knicks*,48.5,33.2,77.0,12.8,29.7,26.5,7.8,5.1
New Jersey Nets,44.4,27.5,73.9,17.1,28.6,21.7,9.1,7.3
Charlotte Hornets,46.7,31.4,77.9,12.5,26.8,24.6,9.3,3.7
Miami Heat,45.9,30.2,71.5,15.0,28.1,23.2,9.2,4.7
Cleveland Cavaliers,47.5,33.4,76.5,12.3,28.4,27.3,7.8,5.5
Washington Bullets,46.6,19.4,72.9,14.3,29.1,25.4,7.2,5.7
Detroit Pistons*,46.5,29.8,76.3,14.7,29.9,22.3,5.9,4.5
Dallas Mavericks,47.1,32.2,76.1,12.0,28.8,22.2,7.1,4.8
Minnesota Timberwolves,44.9,28.3,73.5,15.5,25.8,23.0,8.7,5.4
Sacramento Kings,45.3,37.4,73.2,12.5,27.0,24.3,7.7,6.3
