Eastern Conference,W/L%,win%
Toronto Raptors*,0.573,9
New Jersey Nets*,0.5,14
Philadelphia 76ers,0.427,19
New York Knicks,0.402,21
Boston Celtics,0.293,29
Detroit Pistons*,0.646,4
Cleveland Cavaliers*,0.61,7
Chicago Bulls*,0.598,8
Indiana Pacers,0.427,20
Milwaukee Bucks,0.341,28
Miami Heat*,0.537,11
Washington Wizards*,0.5,15
Orlando Magic*,0.488,16
Charlotte Bobcats,0.402,22
Atlanta Hawks,0.366,27
Utah Jazz*,0.622,6
Denver Nuggets*,0.549,10
Portland Trail Blazers,0.39,24
Minnesota Timberwolves,0.39,25
Seattle SuperSonics,0.378,26
Phoenix Suns*,0.744,2
Los Angeles Lakers*,0.512,12
Golden State Warriors*,0.512,13
Los Angeles Clippers,0.488,17
Sacramento Kings,0.402,23
Dallas Mavericks*,0.817,1
San Antonio Spurs*,0.707,3
Houston Rockets*,0.634,5
New Orleans/Oklahoma City Hornets,0.476,18
Memphis Grizzlies,0.268,30
