チーム名,勝率,順位
ブルックリン ネッツ,0.667,4
フェニックス サンズ,0.708,2
ミルウォーキー バックス,0.639,7
デンバー ナゲッツ,0.653,5
LA クリッパーズ,0.653,5
サクラメント キングス,0.431,21
ニューオーリンズ ペリカンズ,0.431,21
シカゴ ブルズ,0.431,21
フィラデルフィア 76ers,0.681,3
ワシントン ウィザーズ,0.472,17
インディアナ ペイサーズ,0.472,17
ロサンゼルス レイカーズ,0.583,8
ダラス マーベリックス,0.583,8
アトランタ ホークス,0.569,11
ユタ ジャズ,0.722,1
マイアミ ヒート,0.556,13
ゴールデンステイト ウォリアーズ,0.542,14
メンフィス グリズリーズ,0.528,15
ボストン セルティックス,0.5,16
サンアントニオ スパーズ,0.458,19
ニューヨーク ニックス,0.569,11
シャーロット ホーネッツ,0.458,19
ポートランド トレイルブレイザーズ,0.583,8
デトロイト ピストンズ,0.278,29
クリーブランド キャバリアーズ,0.306,26
トロント ラプターズ,0.375,24
ミネソタ ティンバーウルブズ,0.319,25
ヒューストン ロケッツ,0.236,30
オクラホマシティ サンダー,0.306,26
オーランド マジック,0.292,28
